,index,num_series
3078,43739,10
3079,97227,10
3080,47725,10
3081,17102,10
3082,14204,10
3083,91355,10
3084,98164,10
3085,1104,10
3086,46805,10
3087,98039,10
3088,05443,9
3089,64113,9
3090,22311,9
3091,48313,9
3092,49006,9
3093,43612,9
3094,18508,9
3095,43135,9
3096,98337,9
3097,5444,9
3098,95062,9
3099,31220,9
3100,94087,9
3101,2632,9
3102,89441,9
3103,62703,9
3104,34237,9
3105,85007,9
3106,22206,9
3107,93908,9
3108,94402,9
3109,14718,9
3110,28348,9
3111,98070,9
3112,90021,9
3113,49008,9
3114,46077,9
3115,33781,9
3116,02110,9
3117,80514,9
3118,64057,9
3119,94401,9
3120,90742,9
3121,2215,9
3122,92067,9
3123,80923,9
3124,90804,9
3125,37380,9
3126,90277,9
3127,77396,9
3128,76010,9
3129,22310,9
3130,15206,9
3131,75146,9
3132,5458,9
3133,18509,9
3134,93292,9
3135,98333,9
3136,92845,9
3137,60436,9
3138,24609,9
3139,93454,9
3140,79407,9
3141,80922,9
3142,76655,9
3143,14202,9
3144,80303,9
3145,22101,9
3146,95139,9
3147,19604,8
3148,5455,8
3149,15216,8
3150,98380,8
3151,31201,8
3152,80111,8
3153,89015,8
3154,46815,8
3155,48532,8
3156,93030,8
3157,13214,8
3158,98236,8
3159,22315,8
3160,45252,8
3161,41339,8
3162,1850,8
3163,63120,8
3164,92020,8
3165,49525,8
3166,44511,8
3167,92011,8
3168,45414,8
3169,97030,8
3170,32110,8
3171,43008,8
3172,14615,8
3173,92879,8
3174,10454,8
3175,14062,8
3176,33548,8
3177,80305,8
3178,14728,8
3179,02113,8
3180,1118,8
3181,30601,8
3182,78154,8
3183,90242,8
3184,45232,8
3185,1606,8
3186,98354,8
3187,94015,8
3188,80121,8
3189,91210,8
3190,91914,8
3191,77640,8
3192,46835,8
3193,49096,8
3194,2655,8
3195,80904,8
3196,5459,8
3197,64108,8
3198,92019,8
3199,63107,8
3200,37916,8
3201,18510,8
3202,1851,8
3203,44709,8
3204,1852,8
3205,48890,8
3206,77710,8
3207,46825,8
3208,48601,8
3209,64151,8
3210,43206,8
3211,12993,8
3212,93907,8
3213,44301,8
3214,93612,8
3215,85363,8
3216,48609,8
3217,63105,8
3218,95973,8
3219,14219,8
3220,75226,8
3221,78719,8
3222,5457,8
3223,61101,8
3224,92835,8
3225,90806,8
3226,5465,8
3227,24283,8
3228,95354,8
3229,29707,8
3230,20874,8
3231,61104,8
3232,44718,7
3233,45420,7
3234,78413,7
3235,80017,7
3236,90014,7
3237,48507,7
3238,64111,7
3239,1119,7
3240,33068,7
3241,1129,7
3242,80631,7
3243,78404,7
3244,60476,7
3245,79102,7
3246,31626,7
3247,78411,7
3248,92346,7
3249,46808,7
3250,98027,7
3251,47408,7
3252,47710,7
